Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
RasAdminAcceptNewConnection,Yes,No,No,RAS Admin,user-defined,rassapi.h,,New for Windows NT 4.0,WinNT,3rd party DLL entrypoint
RasAdminConnectionHangupNotification,Yes,No,No,RAS Admin,user-defined,rassapi.h,,New for Windows NT 4.0,WinNT,3rd party DLL entrypoint
RasAdminGetIpAddressForUser,Yes,No,No,RAS Admin,user-defined,rassapi.h,,New for Windows NT 4.0,WinNT,3rd party DLL entrypoint
RasAdminReleaseIpAddress,Yes,No,No,RAS Admin,user-defined,rassapi.h,,New for Windows NT 4.0,WinNT,3rd party DLL entrypoint
RasSecurityDialogBegin,Yes,No,No,RAS Security, -,rasshost.h,,New for Windows NT 4.0,No,3rd party DLL entrypoint
RasSecurityDialogEnd,Yes,No,No,RAS Security, -,rasshost.h,,New for Windows NT 4.0,No,3rd party DLL entrypoint
WinTrustProviderClientInitialize,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,Unicode only,3rd party DLL entrypoint
WinTrustProviderServerInitialize,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,Unicode only,3rd party DLL entrypoint
WinTrustSipInitialize,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,No,3rd party DLL entrypoint
WinTrustProviderClientUnload,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,No,3rd party DLL function
WinTrustProviderPing,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,Unicode only,3rd party DLL function
WinTrustProviderServerUnload,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,No,3rd party DLL function
WinTrustProviderSubmitCertificate,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,No,3rd party DLL function
WinTrustProviderVerifyTrust,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,No,3rd party DLL function
WinTrustSubjectCheckContentInfo,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,No,3rd party DLL function
WinTrustSubjectEnumCertificates,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,No,3rd party DLL function
WinTrustSubjectGetCertHeader,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,No,3rd party DLL function
WinTrustSubjectGetCertificate,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,No,3rd party DLL function
WinTrustSubjectGetName,Yes,No,No,, -,wintrust.h,,New for Windows NT 4.0,Unicode only,3rd party DLL function
AbortProc,Yes,Yes,Yes,callback/GDI,user-defined,wingdi.h,ABORTPROC,,No,callback function
ABProviderInit,Yes,Yes,No,MAPI,user-defined,mapispi.h,,Since MAPI 1.0,No,callback function
acmDriverEnumCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMDRIVERENUMCB,,No,callback function
acmDriverProc,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMDRIVERPROC,,No,callback function
acmFilterChooseHookProc,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFILTERCHOOSEHOOKPROC,,WinNT,callback function
acmFilterEnumCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFILTERENUMCB,,WinNT,callback function
acmFilterTagEnumCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFILTERTAGENUMCB,,WinNT,callback function
acmFormatChooseHookProc,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFORMATCHOOSEHOOKPROC,,WinNT,callback function
acmFormatEnumCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFORMATENUMCB,,WinNT,callback function
acmFormatTagEnumCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFORMATTAGENUMCB,,WinNT,callback function
acmStreamConvertCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined, -,,,No,callback function
AddPropSheetPageProc,Yes,Yes,Yes,callback/property sheets,user-defined,prsht.h,LPFNADDPROPSHEETPAGEPROC,,No,callback function
BrowseCallbackProc,Yes,Yes,No,callback/user/new shell,user-defined,shlobj.h,BFFCALLBACK,New for Windows 95; added to Windows NT 4.0,No,callback function
Callback,Yes,Yes,No,DirectX2,user-defined,ddraw.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95; added to Windows NT 4.0,No,callback function
CALLERRELEASE,Yes,Yes,No,MAPI,user-defined,mapiutil.h,,Since MAPI 1.0,No,callback function
CallWndProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
CallWndRetProc,Yes,Yes,No,callback/user,user-defined,winuser.h,HOOKPROC,New for Windows 95; added to Windows NT 4.0,No,callback function
capControllCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
capErrorCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
capStatusCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
capVideoStreamCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
capWaveStreamCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
capYieldCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
CBTProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
CCHookProc,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPCCHOOKPROC,,No,callback function
CFHookProc,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPCFHOOKPROC,,No,callback function
CopyProgressRoutine,Yes,No,No,callback/kernel,user-defined, -,,New for Windows NT 4.0,No,callback function
CPlApplet,Yes,Yes,Yes,callback/cpanel,user-defined,cpl.h,APPLET_PROC,,No,callback function
D3DENUMDEVICESCALLBACK,No,Yes,No,DirectX2, -,ddraw.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DENUMTEXTUREFORMATSCALLBACK,No,Yes,No,DirectX2, -,ddraw.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DRMDEVICEPALETTECALLBACK,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DRMFRAMEMOVECALLBACK,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
